Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
142,357,Paddy O'Rafferty's,https://youtu.be/JuiuVHcUVoE,Irish,5/3/2024,Double Jig,D,Major,3
143,358,Connemara Stockings,https://youtu.be/1tMn2qmzEuM,Irish,11/3/2024,Single Reel,D,Major,3
143,359,Westmeath Hunt,https://youtu.be/Q3to5exZ5dU,Irish,12/3/2024,Single Reel,D,Major,4
143,360,The Clogher,https://youtu.be/lTB3V437G4I,Irish,13/3/2024,Single Reel,D,Major,3
144,361,The Butlers of Glen Avenue,https://youtu.be/LzrYdFtF2zE,Irish,15/3/2024,Double Jig,G,Major,2
144,362,Christy Barry's No.2,https://youtu.be/zWOGZyVGrrc,Irish,16/3/2024,Double Jig,G,Major,2
144,363,The Stolen Purse,https://youtu.be/k0tRU_HmU-Y,Irish,18/3/2024,Double Jig,A,Major,2
145,364,The Tipperary Hills,https://youtu.be/zyKyhu9v5ZM,Irish,20/3/2024,Hop Jig,D,Major,2
145,365,Cucanandy,https://youtu.be/7NKz7tvtgdo?si=lpig3xxWhGHkvCTB,Irish,21/3/2024,Hop Jig,G,Major,2
145,366,The Dusty Miller,https://youtu.be/010kyYsj8mk,Irish,22/3/2024,Hop Jig,D,Major,2
,367,The Munster Cloak,https://youtu.be/_yBVPcNAfPI,Irish,26/3/2024,Waltz,G,Major,2
146,368,The Blackberry Blossom,https://youtu.be/GFn3cyw9rxs,Irish,27/3/2024,Single Reel,G,Major,2
146,369,The Silver Spire,https://youtu.be/ihOg1K-rwoE,Irish,28/3/2024,Double Reel,D,Major,2
146,370,The Broken Pridge,https://youtu.be/ugjgbR168U4,Irish,29/3/2024,Double Reel,D,Dorian,2
147,371,The Wonder Hornpipe,https://youtu.be/vpVTtyDZtJw,Irish,1/4/2023,Hornpipe,G,Major,2
147,372,The Acrobat Hornpipe,https://youtu.be/nWTaq_lH460,Irish,4/1/2024,Hornpipe,D,Major,2
148,373,The Sporting Pitchfork,https://youtu.be/kJyxzId36bQ,Irish,3/4/2024,Double Jig,D,Major,2
148,374,The Maid at the Spinning Wheel,https://youtu.be/FAvBKkssORY,Irish,4/4/2024,Double Jig,G,Major,4
148,375,The Gallowglass,https://youtu.be/4Llni9alVbY,Irish,5/4/2024,Double Jig,A,minor,2
149,376,The Cockoo,https://youtu.be/ZDPyMUlERcw,Irish,12/4/2024,Hornpipe,G,Major,2
